cv_id,job_id,job_title,company,industry,language_detected,required_experience_years,required_education,semantic_score_percent,keyword_score_percent,improvement_percent,semantic_rank_for_cv,keyword_rank_for_cv,semantic_skills_score_percent,semantic_experience_score_percent,semantic_education_score_percent
CV100,jd-0001,Software Engineer,PT Teknologi Maju,Information Technology,bilingual,2,S1 Ilmu Komputer / Bachelor of Computer Science,40.24,9.09,31.15,9,8,12.42,61.33,53.72
CV100,jd-0002,Data Analyst,PT Keuangan Nusantara,Finance,bilingual,1,S1 Statistika / Matematika / Ilmu Komputer,30.9,0.0,30.9,23,32,12.31,42.57,44.75
CV100,MK00001,Digital Marketing Specialist,Company Not Specified,Marketing,bilingual,2,Bachelor,27.6,4.7,22.9,30,24,6.27,35.62,54.23
CV100,MK00002,Brand Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,27.97,5.85,22.12,29,16,14.34,28.46,54.23
CV100,MK00003,Social Media Manager,Company Not Specified,Marketing,bilingual,3,Bachelor,35.79,4.84,30.95,15,23,29.72,32.64,54.23
CV100,MK00004,Performance Marketing Lead,Company Not Specified,Marketing,bilingual,6,Bachelor,32.63,5.34,27.29,21,19,23.25,31.21,54.23
CV100,MK00005,Content Marketing Strategist,Company Not Specified,Marketing,bilingual,3,Bachelor,38.21,6.79,31.42,12,13,27.87,40.53,54.23
CV100,MK00006,Trade Marketing Executive,Company Not Specified,Marketing,bilingual,2,Bachelor,35.3,3.06,32.24,17,30,28.11,33.02,54.23
CV100,MK00007,Marketing Communications Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,28.87,4.28,24.59,28,26,19.1,25.97,54.23
CV100,MK00008,SEO Specialist,Company Not Specified,Marketing,bilingual,2,Bachelor,33.87,5.75,28.12,19,17,20.98,36.58,54.23
CV100,MK00009,Customer Experience Manager,Company Not Specified,Marketing,bilingual,5,Bachelor,38.68,8.04,30.64,11,10,33.73,35.85,54.23
CV100,MK00010,Growth Marketing Analyst,Company Not Specified,Marketing,bilingual,2,Bachelor,38.79,3.23,35.56,10,29,22.14,47.73,54.23
CV100,IT00001,Backend Engineer,Company Not Specified,Information Technology,bilingual,3,Bachelor,48.95,18.23,30.72,2,2,33.64,61.61,54.23
CV100,IT00002,Frontend Developer,Company Not Specified,Information Technology,bilingual,2,Bachelor,50.07,28.44,21.63,1,1,27.78,70.29,54.23
